H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
droebachiensis	pallidus	pulcherrimus_SRR5767283	396470	455479	-0.06926354	-0.06926354	0.001403815	-49.33951	
fragilis	pallidus	pulcherrimus_SRR5767283	424291	426536	-0.002638609	-0.002638609	0.001310475	-2.013475	
droebachiensis	intermedius	pulcherrimus_SRR5767283	452499	512090	-0.06177864	-0.06177864	0.00139417	-44.31212	
fragilis	intermedius	pulcherrimus_SRR5767283	477450	481970	-0.00471118	-0.00471118	0.001247348	-3.776958	
pallidus	intermedius	pulcherrimus_SRR5767283	445850	449579	-0.004164484	-0.004164484	0.001247973	-3.336999	
droebachiensis	purpuratus_SRR7211988	pulcherrimus_SRR5767283	473552	627606	-0.1399018	-0.1399018	0.001572689	-88.95709	
fragilis	purpuratus_SRR7211988	pulcherrimus_SRR5767283	501382	595365	-0.08569251	-0.08569251	0.001581234	-54.19344	
pallidus	purpuratus_SRR7211988	pulcherrimus_SRR5767283	477680	562868	-0.0818684	-0.0818684	0.00163421	-50.09662	
intermedius	purpuratus_SRR7211988	pulcherrimus_SRR5767283	523215	608720	-0.07553879	-0.07553879	0.001478882	-51.0783	
droebachiensis	purpuratus_SRR6281818	pulcherrimus_SRR5767283	448288	566580	-0.116559	-0.116559	0.00148978	-78.23906	
fragilis	purpuratus_SRR6281818	pulcherrimus_SRR5767283	471552	532146	-0.06037075	-0.06037075	0.00147856	-40.83078	
pallidus	purpuratus_SRR6281818	pulcherrimus_SRR5767283	450995	505535	-0.0570186	-0.0570186	0.001532662	-37.20232	
intermedius	purpuratus_SRR6281818	pulcherrimus_SRR5767283	496003	549187	-0.05088453	-0.05088453	0.001437165	-35.40618	
purpuratus_SRR7211988	purpuratus_SRR6281818	pulcherrimus_SRR5767283	252523	215926	0.07812377	0.07812377	0.001984522	39.36654	
droebachiensis	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	4243650	163898	0.9256285	0.9256285	0.0009330416	992.0549	
fragilis	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	4334434	147295	0.9342687	0.9342687	0.0008661134	1078.691	
pallidus	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	4239523	135417	0.9380942	0.9380942	0.000854905	1097.308	
intermedius	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	4253807	140436	0.9360818	0.9360818	0.0008622507	1085.626	
purpuratus_SRR7211988	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	4876079	160900	0.9361125	0.9361125	0.0007586691	1233.888	
purpuratus_SRR6281818	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	4598207	149943	0.9368415	0.9368415	0.0007796599	1201.603	
droebachiensis	fragilis	pulcherrimus_DRR107784	363864	366993	-0.004281275	-0.004281275	0.001359414	-3.149354	
droebachiensis	pallidus	pulcherrimus_DRR107784	388588	387417	0.001509011	0.001509011	0.001324496	1.139309	
fragilis	pallidus	pulcherrimus_DRR107784	403918	399526	0.005466467	0.005466467	0.001255278	4.354786	
droebachiensis	intermedius	pulcherrimus_DRR107784	446779	439235	0.008514538	0.008514538	0.00130318	6.533663	
fragilis	intermedius	pulcherrimus_DRR107784	461685	450813	0.01191455	0.01191455	0.001224248	9.732133	
pallidus	intermedius	pulcherrimus_DRR107784	429021	423893	0.006012329	0.006012329	0.001231211	4.883263	
droebachiensis	purpuratus_SRR7211988	pulcherrimus_DRR107784	457222	549641	-0.09178905	-0.09178905	0.001579403	-58.11629	
fragilis	purpuratus_SRR7211988	pulcherrimus_DRR107784	469613	567009	-0.09395517	-0.09395517	0.001586966	-59.20428	
pallidus	purpuratus_SRR7211988	pulcherrimus_DRR107784	443156	537794	-0.09647587	-0.09647587	0.001593659	-60.53733	
intermedius	purpuratus_SRR7211988	pulcherrimus_DRR107784	486073	591555	-0.0978835	-0.0978835	0.001463139	-66.89968	
droebachiensis	purpuratus_SRR6281818	pulcherrimus_DRR107784	436126	493781	-0.06200082	-0.06200082	0.001526884	-40.60612	
fragilis	purpuratus_SRR6281818	pulcherrimus_DRR107784	446191	505208	-0.06203181	-0.06203181	0.001557507	-39.82762	
pallidus	purpuratus_SRR6281818	pulcherrimus_DRR107784	423002	482369	-0.06557201	-0.06557201	0.001583897	-41.39916	
intermedius	purpuratus_SRR6281818	pulcherrimus_DRR107784	464866	532422	-0.06773971	-0.06773971	0.001493984	-45.34165	
purpuratus_SRR7211988	purpuratus_SRR6281818	pulcherrimus_DRR107784	244032	201366	0.09579298	0.09579298	0.001971723	48.5834	
droebachiensis	pulcherrimus_SRR5767283	pulcherrimus_DRR107784	4243650	117126	0.946282	0.946282	0.0008083542	1170.628	
fragilis	pulcherrimus_SRR5767283	pulcherrimus_DRR107784	4334434	124750	0.9440481	0.9440481	0.0008139462	1159.841	
pallidus	pulcherrimus_SRR5767283	pulcherrimus_DRR107784	4239523	115449	0.9469806	0.9469806	0.0007912742	1196.779	
