H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
intermedius	purpuratus_SRR7211988	nudus	44201	258814	-0.7082587	-0.7082587	0.002176241	-325.4505	
droebachiensis	purpuratus_SRR6281818	nudus	53613	178840	-0.5387197	-0.5387197	0.003768553	-142.9513	
fragilis	purpuratus_SRR6281818	nudus	54157	183387	-0.5440255	-0.5440255	0.003808931	-142.8289	
pallidus	purpuratus_SRR6281818	nudus	50127	179563	-0.5635248	-0.5635248	0.003786672	-148.818	
intermedius	purpuratus_SRR6281818	nudus	57460	188947	-0.5336171	-0.5336171	0.003631199	-146.9534	
purpuratus_SRR7211988	purpuratus_SRR6281818	nudus	112695	25348	0.6327521	0.6327521	0.003012998	210.0075	
droebachiensis	pulcherrimus_SRR5767283	nudus	119030	80974	0.1902762	0.1902762	0.003175876	59.91298	
fragilis	pulcherrimus_SRR5767283	nudus	124529	83734	0.1958821	0.1958821	0.003234353	60.56301	
pallidus	pulcherrimus_SRR5767283	nudus	115128	80460	0.1772501	0.1772501	0.003189016	55.58146	
intermedius	pulcherrimus_SRR5767283	nudus	120513	84232	0.1772009	0.1772009	0.003100493	57.15249	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	nudus	277826	50750	0.6910913	0.6910913	0.002207833	313.018	
purpuratus_SRR6281818	pulcherrimus_SRR5767283	nudus	215688	61834	0.5543849	0.5543849	0.003429308	161.6609	
droebachiensis	pulcherrimus_DRR107784	nudus	120036	77774	0.2136495	0.2136495	0.00329674	64.80628	
fragilis	pulcherrimus_DRR107784	nudus	124705	79203	0.2231497	0.2231497	0.003331782	66.97606	
pallidus	pulcherrimus_DRR107784	nudus	115404	76022	0.2057296	0.2057296	0.003319221	61.9813	
intermedius	pulcherrimus_DRR107784	nudus	120774	79465	0.2062985	0.2062985	0.003232011	63.82976	
purpuratus_SRR7211988	pulcherrimus_DRR107784	nudus	276878	49399	0.6971959	0.6971959	0.002143127	325.3171	
purpuratus_SRR6281818	pulcherrimus_DRR107784	nudus	215570	59191	0.5691455	0.5691455	0.003303518	172.2847	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	nudus	21997	18701	0.08098678	0.08098678	0.005043663	16.05714	
droebachiensis	depressus	nudus	304974	57998	0.6804271	0.6804271	0.002212496	307.5382	
fragilis	depressus	nudus	310668	58802	0.6816954	0.6816954	0.002189505	311.3469	
