H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
purpuratus_SRR7211988	pulcherrimus_DRR107784	fragilis	487371	993034	-0.3415707	-0.3415707	0.003273769	-104.3356	
purpuratus_SRR6281818	pulcherrimus_DRR107784	fragilis	438190	986116	-0.3846968	-0.3846968	0.003197192	-120.3233	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	fragilis	110503	129817	-0.08036784	-0.08036784	0.002260153	-35.55859	
droebachiensis	fragilis	pallidus	515069	540629	-0.02421147	-0.02421147	0.002954524	-8.19471	
droebachiensis	intermedius	pallidus	534369	706493	-0.1387132	-0.1387132	0.002593638	-53.48212	
fragilis	intermedius	pallidus	549855	699912	-0.120068	-0.120068	0.002459848	-48.81115	
droebachiensis	purpuratus_SRR7211988	pallidus	510863	890506	-0.2709087	-0.2709087	0.002606139	-103.9502	
fragilis	purpuratus_SRR7211988	pallidus	518794	880445	-0.2584626	-0.2584626	0.002708147	-95.43894	
intermedius	purpuratus_SRR7211988	pallidus	581026	765071	-0.1367249	-0.1367249	0.002101121	-65.07238	
droebachiensis	purpuratus_SRR6281818	pallidus	502799	801353	-0.2289258	-0.2289258	0.002728605	-83.89848	
fragilis	purpuratus_SRR6281818	pallidus	509131	787474	-0.2146706	-0.2146706	0.002804386	-76.54817	
intermedius	purpuratus_SRR6281818	pallidus	572640	687856	-0.09140529	-0.09140529	0.00211703	-43.1762	
purpuratus_SRR7211988	purpuratus_SRR6281818	pallidus	294215	215424	0.1546016	0.1546016	0.002258689	68.4475	
droebachiensis	pulcherrimus_SRR5767283	pallidus	350806	1072650	-0.5071066	-0.5071066	0.003051137	-166.2025	
fragilis	pulcherrimus_SRR5767283	pallidus	370678	1078818	-0.4885422	-0.4885422	0.002996228	-163.0524	
intermedius	pulcherrimus_SRR5767283	pallidus	395088	956487	-0.4153665	-0.4153665	0.003197471	-129.9047	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	pallidus	488368	937400	-0.3149404	-0.3149404	0.003154273	-99.84566	
purpuratus_SRR6281818	pulcherrimus_SRR5767283	pallidus	442413	926370	-0.3535674	-0.3535674	0.003123451	-113.1977	
droebachiensis	pulcherrimus_DRR107784	pallidus	344472	1070297	-0.5130343	-0.5130343	0.003026936	-169.4897	
