H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
droebachiensis	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	4410467	164903	0.9279171	0.9279171	0.000878034	1056.812	
fragilis	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	4512460	148027	0.9364757	0.9364757	0.0008223988	1138.712	
pallidus	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	4408217	135724	0.9402615	0.9402615	0.0008093756	1161.712	
intermedius	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	4422101	140825	0.9382743	0.9382743	0.0008126545	1154.579	
purpuratus_SRR7211988	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	5058521	165145	0.9367705	0.9367705	0.0007235857	1294.623	
purpuratus_SRR6281818	pulcherrimus_DRR107784	pulcherrimus_SRR5767283	4777911	153023	0.9379335	0.9379335	0.0007361284	1274.144	
droebachiensis	fragilis	pulcherrimus_DRR107784	370561	373895	-0.004478438	-0.004478438	0.001288343	-3.476123	
droebachiensis	pallidus	pulcherrimus_DRR107784	395274	396015	-0.0009364467	-0.0009364467	0.001293909	-0.7237345	
fragilis	pallidus	pulcherrimus_DRR107784	411592	408315	0.003996795	0.003996795	0.001237588	3.229504	
droebachiensis	intermedius	pulcherrimus_DRR107784	456962	445655	0.01252691	0.01252691	0.001240226	10.1005	
fragilis	intermedius	pulcherrimus_DRR107784	473304	457921	0.0165191	0.0165191	0.001222196	13.51592	
pallidus	intermedius	pulcherrimus_DRR107784	440223	429325	0.01253295	0.01253295	0.001256524	9.9743	
droebachiensis	purpuratus_SRR7211988	pulcherrimus_DRR107784	474570	548083	-0.0718846	-0.0718846	0.00156767	-45.85443	
fragilis	purpuratus_SRR7211988	pulcherrimus_DRR107784	489500	565490	-0.07202912	-0.07202912	0.00154452	-46.63527	
pallidus	purpuratus_SRR7211988	pulcherrimus_DRR107784	461911	535399	-0.07368622	-0.07368622	0.001584571	-46.50232	
intermedius	purpuratus_SRR7211988	pulcherrimus_DRR107784	503183	593039	-0.0819688	-0.0819688	0.001478623	-55.43589	
droebachiensis	purpuratus_SRR6281818	pulcherrimus_DRR107784	449816	496448	-0.04928012	-0.04928012	0.001497959	-32.89818	
fragilis	purpuratus_SRR6281818	pulcherrimus_DRR107784	461887	507803	-0.04735122	-0.04735122	0.001484227	-31.90295	
pallidus	purpuratus_SRR6281818	pulcherrimus_DRR107784	438175	484486	-0.05019287	-0.05019287	0.001547863	-32.4272	
intermedius	purpuratus_SRR6281818	pulcherrimus_DRR107784	478412	538749	-0.05931903	-0.05931903	0.001422099	-41.7123	
purpuratus_SRR7211988	purpuratus_SRR6281818	pulcherrimus_DRR107784	243312	209717	0.0741564	0.0741564	0.001952114	37.98774	
droebachiensis	pulcherrimus_SRR5767283	pulcherrimus_DRR107784	4410467	117327	0.9481748	0.9481748	0.0007878234	1203.537	
fragilis	pulcherrimus_SRR5767283	pulcherrimus_DRR107784	4512460	125281	0.9459733	0.9459733	0.0007908396	1196.163	
pallidus	pulcherrimus_SRR5767283	pulcherrimus_DRR107784	4408217	115828	0.9487945	0.9487945	0.0007740015	1225.83	
intermedius	pulcherrimus_SRR5767283	pulcherrimus_DRR107784	4422101	126497	0.9443798	0.9443798	0.0008099099	1166.031	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	pulcherrimus_DRR107784	5058521	135930	0.9476634	0.9476634	0.0007165009	1322.627	
purpuratus_SRR6281818	pulcherrimus_SRR5767283	pulcherrimus_DRR107784	4777911	127609	0.9479733	0.9479733	0.0007223366	1312.371	
